model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4o-mini,normal,sensor_fault,7,0,0,0,0,0,0.2857142857142857,5,1,normal,0.25,2,8,0,1.0,80,80,0,5,0,3,8,8,1.8695284248096868,2.8560306126018986,38.13271879963577,state_filling_tank_B202,reprompt_limit,0.2,3,0.42857142857142855,0.6666666666666666,1.0,2.6666666666666665,37837,579,25832,954,63669,1533,65202
gpt-4o-mini,normal,sensor_fault,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2791891285617436,2.6116307570732067,34.59088149946183,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32140,501,22603,732,54743,1233,55976
gpt-4o-mini,normal,sensor_fault,9,0,0,0,0,0,0.2857142857142857,5,1,normal,0.25,2,8,0,1.0,80,80,0,5,0,3,8,8,2.169350999989547,3.0556434999452904,42.08507019933313,state_filling_tank_B202,reprompt_limit,0.2,3,0.42857142857142855,0.6666666666666666,1.0,2.6666666666666665,37837,569,25832,959,63669,1528,65197
gpt-4o-mini,normal,leak,0,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,2.34605156222824,4.074341588964065,55.79338800068945,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,36999,625,29215,1042,66214,1667,67881
gpt-4o-mini,normal,leak,1,1,1,1,1,1,1.0,0,1,bypass,0.7777777777777778,7,9,1,1.0,90,90,0,2,0,8,9,9,2.7302387999370694,3.4118845890172653,56.749790099449456,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.7142857142857143,1.0,1.2857142857142858,41793,786,29112,986,70905,1772,72677
gpt-4o-mini,normal,leak,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.112970942631364,2.6628596571141054,33.593715799972415,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,566,22644,735,54825,1301,56126
gpt-4o-mini,normal,leak,3,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.352388537605293,2.763795100036077,41.21084660012275,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36999,651,25878,893,62877,1544,64421
gpt-4o-mini,normal,leak,4,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.6236396873136982,2.6616915622726083,42.49490119982511,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36999,665,25878,879,62877,1544,64421
gpt-4o-mini,normal,leak,5,1,1,1,1,1,1.0,0,1,bypass,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,2.665567957130926,2.8985920251579955,42.10624129977077,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32181,579,25981,928,58162,1507,59669
gpt-4o-mini,normal,leak,6,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,3.334352974896319,2.814502710890439,52.27658999990672,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,36999,653,29215,1061,66214,1714,67928
gpt-4o-mini,normal,leak,7,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,2.088398012681864,2.70510368866639,41.376300300471485,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,36999,697,29215,1076,66214,1773,67987
gpt-4o-mini,normal,leak,8,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.018195512704551,2.6192117873579264,37.31680340040475,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36999,643,25878,908,62877,1551,64428
