model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,leak,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.2975033429850424,2.295995971187949,32.5735280001536,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32181,937,22000,853,54181,1790,55971
gpt-4.1-mini,normal,normal,0,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.637676242738962,2.2637092858286842,34.613523399457335,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,774,21952,856,54085,1630,55715
gpt-4.1-mini,normal,normal,1,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.064365499785968,2.238787057277347,30.435753199271858,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,774,21952,831,54085,1605,55690
gpt-4.1-mini,normal,normal,2,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.052362285687455,2.246725856991751,30.415021399967372,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,790,21952,837,54085,1627,55712
gpt-4.1-mini,normal,normal,3,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.889202699996531,2.202700442767569,29.45892889983952,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,783,21952,765,54085,1548,55633
gpt-4.1-mini,normal,normal,4,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0175380569749644,2.3785103002030934,31.133643500506878,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,755,21952,741,54085,1496,55581
gpt-4.1-mini,normal,normal,5,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0470647141337395,2.1369719287114486,29.67959989979863,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,751,21952,790,54085,1541,55626
gpt-4.1-mini,normal,normal,6,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.8001178429861153,1.91231538541615,26.346191399730742,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,768,21952,811,54085,1579,55664
gpt-4.1-mini,normal,normal,7,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0807134143209884,2.3498999004119208,31.414565600454807,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,780,21952,776,54085,1556,55641
gpt-4.1-mini,normal,normal,8,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1457110571541955,2.1144287144499168,30.171323399990797,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,789,21952,776,54085,1565,55650
gpt-4.1-mini,normal,normal,9,1,1,1,1,1,1.0,0,1,normal,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.227098485854055,1.973425543068775,29.716311000287533,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32133,776,21952,781,54085,1557,55642
